Xacc,Yacc,Zacc
0.232793,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.215215,0.035928,-0.028770
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,0.029336
0.243779,-0.071128,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.146445,-0.011313
0.312993,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.396978,-0.128379,-0.025474
0.428228,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.005166
0.431401,-0.181235,0.036416
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
0.324102,-0.231040,0.043862
