Xacc,Yacc,Zacc
0.076177,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958657
0.073247,-1.047812,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.958901
0.074102,-1.044028,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.959756
0.079717,-1.038901,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.960854
0.077153,-1.036460,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.046958,0.965493
0.073735,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.968179
0.068853,-1.043662,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.045981,0.967568
0.069951,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.963540
0.072026,-1.046226,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.040366,0.965859
0.070439,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.962563
0.070317,-1.044150,0.960854
0.074956,-1.041709,0.960854
0.074956,-1.041709,0.960854
0.074956,-1.041709,0.960854
0.074956,-1.041709,0.960854
0.074956,-1.041709,0.960854
